searchSlur,Slur,Represents,Reason
exampleslur,Example Slur,Everyone,This is an example reason for why this slur is offensive.
10%off,10% Off,Jews,Refers to circumcision and consumerism (never pay retail). The term is most widely used in the UK where circumcision among non-Jews or non-Muslims is more rare but in the United States where it is more common it can be considered insulting to many non-Jewish males as well.
51ststater,51st Stater,Canadians,Canada is so culturally similar to the U. S. that they are practically the 51st state
539,539,Jews,Corresponds with the letters J-E-W on a telephone.
7-11,7-11,Arabs,Work at menial jobs like 7-11 clerks.
8mile,8 Mile,Whites,When white kids try to act ghetto or black. From the 2002 movie 8 Mile.
925,925,Blacks,Police Code in Suburban LA for Suspicious Person
aa,AA,Blacks,African American. Could also refer to double-A batteries which you use for a while then throw away.
abba-dabba,Abba-Dabba,Arabs,Used in the movie Betrayed by rural American hate group.
abc,ABC,Australians,Aboriginals use it to offend white australians it means Aboriginal Bum Cleaner
abcd,ABCD,Indians,Means American Born Confused Desi (pronounced day-see). Used by Indians to describe American-born Indians who are confused about their culture. (Desi is slang for an 'countryman'). Also BBCD - British Born Confused Desi.
abco,Abco,Australian Aboriginals,Aboriginals being alcoholics
abdul,Abdul,Arabs,Common name.
abeed,Abeed,Blacks,Arabic term that means Black many Middle Eastern immigrants to the United States use this
abi-dabi,Abi-Dabi,Arabs,A mispronunciation of the capitol city of The United Arab Emarites which is Abu-Dhabi
aceofspades,Ace Of Spades,Blacks,Self Explanatory
adolf,Adolf,Germans,Hitler of course. Generally thought of the worst person ever.
african't,African't,Blacks,Unemployed/lazy Blacks
africoon,Africoon,Blacks,Combination of African and Coon.
afro,Afro,Blacks,Referring to hairstyle
afro-saxon,Afro-Saxon,Whites,Young white men who act black.
agentorange,Agent Orange,Vietnamese,Agent Orange was a defoliant used in Vietnam.
ahab,Ahab,Arabs,From the song Ahab the A-rab
aibu,Aibu,Whites,Nigerian word for White people. Pronounced Oyee-bo.  Not necessarily a slur nor derogatory but rather a direct translation.
ainu,Ainu,Japanese Aboriginals,Originally a word for the native Japanese islanders from Hokkaido but now means roughly a primitive person. Usually look more European than their Japanese counterparts i.e. more hairy and fair skinned. Not really derogatory.
akata,Akata,Black Americans,West African (Yoruba) term for African-Americans. Meaning ancestors of slaves or cotton picker.
aladdin,Aladdin,Arabs,One Thousand and One Nights
albino,Albino,Whites,Albinos are white.
albo,Albo,Albanians,Self Explanatory
alcoholic,Alcoholic,Native Americans,Known to have a hard time handling their liquor.
alphabet,Alphabet,Arabs,Many names seem to use every letter of the alphabet.
ame-koh,Ame-koh,Americans,Term for Americans used by Japanese.
american't,American't,Americans,Americans are stereotypically lazy.
americoon,Americoon,Blacks,Combination of American and Coon.
americunt,Americunt,Americans,Self Explanatory
amerikkkan,AmeriKKKan,Americans,Reference to inherent racism in US society. Entered the language as a part 1960s counter-cultural slang.
amerikos,Amerikos,Americans,Russian deragatory term for a dumb American
amf,AMF,Jews,Short for Arbeit Macht Frei (Work Brings Freedom) which was on the gates of the concentration camp Auswitz
ami,Ami,Americans,This is just a German abbreviation.  By itself it is not derogatory. Scheiss-Ami = Shit American obviously derogatory.
amigo,Amigo,Hispanics,Self-explanatory.
anchorbaby,Anchor Baby,Mexicans,Children of parents who crossed the border illegally; A reference to their adulthood. At that time they will be able to become the family anchor to legally bring in the rest of the family.
ancientchinesesecret,Ancient Chinese Secret,Chinese,From a 1970s TV commercial for Calgon stereotyping all laundry services are run by Chinese immigrants ( link )
angie,Angie,Canadians,English-speaking Canadians. Short for Anglophone and used in Quebec especially for Anglophones in Quebec province itself.  Also: Anglo
anglo,Anglo,Whites,A term used by Mexicans and other non whites in Texas to describe whites in a derogatory fashion.
angus,Angus,Blacks,Angus are a black breed of beef cattle.
ant,Ant,Antarcticans,Self-explanatory.
antiquefarmequipment,Antique Farm Equipment,Blacks,Slaves being used for labor.
apna,Apna,Indians,Hindi/Punjabi slang meaning our guy and referring to a male of their own race. Apni refers to Indian females. Used in areas of Punjabi immigrants.
apu,Apu,Indians,Hindu character from The Simpsons. Before that one of the most famous films out of India was the Apu Trilogy.
ararat,Ararat,Armenians,Mount Ararat is the tallest peak in Armenia and it is said that Noah's Ark landed on it during the great flood. Ararat is in historic Armenian but the region currently belongs to Turkey
aravi,Aravi,Arabs,Hebrew word for arabs
arf,Arf,Blacks,African Rock Fish. Jones Beach (NYC) term for Blacks due to their poor swimming abilities.
argie,Argie,Argentinans,Self-explanatory
armo,Armo,Armenians,Short for Armenian.
aryan,Aryan,Whites,The name Hitler used to refer to his blonde-haired blue-eyed Master Race.  Can be used towards racist whites who don't think they're racist.
ashy,Ashy,Blacks,When their skin gets dry it can tend to look ashy.
atta,Atta,Arabs,Taken from the 9/11 terrorist who flew a plane into the World Trade Center Mohammed Atta
auntjemima,Aunt Jemima,Blacks,After the stereotypically Black trademark picture on Aunt Jemima brand breakfast foods.
ayatollah,Ayatollah,Persians,A religious leader amongst Shiite Muslims. More specifically it would refer to Iranians.
azn,Azn,Asians,Asians that spend too much time online and hence use l33t the hacker language
babar,Babar,Indians,From the character Babar the Elephant. First appeared in the book Babar the King published in 1963 and made into a popular animated HBO show in the early 90's. It's about an Indian elephant character growing up.
baboomba,Baboomba,Blacks,From the booming of their car stereos.
baboon,Baboon,Blacks,Another simian reference
babu,Babu,Indians,Means child in Hindi. Getting multiple definitions for this word.
baby-muncher,Baby-Muncher,Chinese,The Chinese ate their babies because of their poverty stricken homes and to keep down the population.
bacardi,Bacardi,Puerto Ricans,Bacardi - Puerto Rican Rum
baconbits,Bacon Bits,Whites,White Trailer Trash that have sex with Pigs
bagel-dog,Bagel-Dog,Jews,From Kosher bagel dogs - a Kosher sausage inside of a bagel.
bahadur,Bahadur,Nepalese,Bahadur means brave has become a derogatory term for Nepali servants. They are also called Gaurkhs.
baitou,Bai Tou,Whites,Mandarin Chinese term meaning white head.
baijo,Baijo,Whites,Japanese term meaing strangers used in a hostile way.
bakguiy,Bak Guiy,Whites,Cantonese for white ghost.
balsero,Balsero,Cubans,Spanish for rafter
baluba,Baluba,Blacks,Name belonging to a tribe that killed Irish soldiers in Africa.
baluga,Baluga,Blacks,Filipino equiv. to Nigger known by all Filipinos
bamboocoon,Bamboo Coon,Chinese,Bamboo grows in China.
banana,Banana,Asians,An Asian American who has lost their heritage. Yellow on the outside white on the inside.
bananabender,Banana Bender,Australians,Austrlian slang term for a useless person living in the state of Queensland.
bananame,Bananame,Asians,Banana and anime. Refers to Asians esp. Filipinos who are fixated on Japanese pop culture(anime music etc.) only date Japanese try to be Japanese.
bandwidthnigger/whore,Bandwidth Nigger/Whore,Asians,Represents Asians who instead of using the Asian video game servers they are assigned jump to a US server and hog the bandwidth of US users.
banjolips,Banjo Lips,Blacks,Big lips
bantu,Bantu,Blacks,Comes from the apartheid racial classification for Blacks. Rarely used today. Derogatory
bap,BAP,Blacks,Means Black American Princess. Arrogant female blacks who flaunt their money around and demand the finest things in life.
barcode,Bar Code,Jews,Jewish prisoners were tattooed with a number on their arm while in concentration camps. While the bar code was not invented(or at least patended) until after the war this is a slur in common although incorrect usage.
bara,Bara,Arabs,Arab spelled backwards.
bargainkorean,Bargain Korean,Hawaiians,Hawaiians are sometimes confused for asian but are not quite right.
bat-gwai/bai-guei,Bat-gwai/Bai-guei,Whites,Bat-gwai is the Cantonese for white ghost; or as we more commonly hear it translated white devil. It may be worth noting that white is the color of death and mourning in China as black is in Europe and America.
batman,Batman,Arabs,Women of the Islamic faith who wear a cape(loosely) and mask similar to that of Batman.
bayfrog,Bay Frog,Canadians,Hudson Bay + Frog. Specifically refers to French descendents from Quebec
bazi,Bazi,Germans,Bazi is a Bavarian/Southern German term for a loveable crook.  Pronounced baht-see
bbk,BBK,Blacks,Big Black Cocks. Spelled with a K as in the Korn song of the same title.
bdn,BDN,Blacks,Big Dummy Nigger Comes from the movie The Green Mile. A white prisoner calls a black prisoner a Big Dummy Nigger.
beach-nigger,Beach-Nigger,Whites,Overly-tanned people/surfers.
beanbandit,Bean Bandit,Hispanics,They eat beans.
beanburrito,Bean Burrito,Hispanics,Common Hispanic food is bean burritos and the coloring of the beans is similar to the coloring of their skin.
beandipper,Bean Dipper,Whites,White men or any non-hispanic who date hispanic women.
beanbag,Beanbag,Hispanics,Another slur based on the Hispanics consumption of beans
beaner,Beaner,Hispanics,Because they are known to have a lot of beans in their diet and are also hired many times to pick beans for (sometimes less than) minimum wage.
beanerball,Beaner Ball,Hispanics,Soccer is quite popular in Mexico and South America.
beanershnitzel,Beaner Shnitzel,Mixed Races,German/Hispanic mix
